               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11011,            0.018864,            0.054582,                   0,                   0,                   0,                   0,            0.065801,            0.011511,            0.034982,              0.0937,              0.0007,              0.0007
                   1,             0.10876,            0.019586,            0.055714,                   0,                   0,                   0,                   0,            0.064723,            0.011727,            0.034991,            0.086485,           0.0014851,           0.0014851
                   2,             0.10718,             0.02039,            0.054576,                   0,                   0,                   0,                   0,             0.06415,            0.011849,            0.034982,            0.079254,           0.0022545,           0.0022545
                   3,             0.10536,            0.021551,            0.053688,                   0,                   0,                   0,                   0,             0.06346,            0.011998,            0.034964,            0.072008,           0.0030079,           0.0030079
                   4,             0.10325,            0.021564,            0.053716,                   0,                   0,                   0,                   0,            0.062706,            0.012152,            0.034973,            0.064746,           0.0037456,           0.0037456
                   5,             0.10282,            0.021767,            0.054072,                   0,                   0,                   0,                   0,            0.061881,            0.012301,            0.034955,            0.057467,           0.0044673,           0.0044673
                   6,             0.10026,            0.022178,            0.053745,                   0,                   0,                   0,                   0,            0.061347,            0.012236,            0.034955,            0.050173,           0.0051733,           0.0051733
                   7,            0.098106,            0.022091,            0.052882,                   0,                   0,                   0,                   0,            0.060753,            0.012526,            0.034946,            0.042863,           0.0058634,           0.0058634
                   8,             0.09729,            0.021769,            0.052721,                   0,                   0,                   0,                   0,            0.059939,             0.01271,            0.034918,            0.035538,           0.0065377,           0.0065377
                   9,            0.095067,            0.023525,            0.053019,                   0,                   0,                   0,                   0,            0.059357,            0.012816,            0.034891,            0.028196,           0.0071961,           0.0071961
                  10,             0.09395,            0.022638,            0.052472,                   0,                   0,                   0,                   0,             0.05834,            0.012787,            0.034854,            0.020839,           0.0078387,           0.0078387
                  11,            0.092417,            0.021179,            0.052215,                   0,                   0,                   0,                   0,            0.057451,            0.012968,            0.034827,            0.013465,           0.0084655,           0.0084655
                  12,            0.090457,            0.022398,            0.051917,                   0,                   0,                   0,                   0,            0.056384,            0.013065,            0.034808,            0.008812,            0.008812,            0.008812
